nom;sexe;presences;absences
Myriam Traversa;F;5;10
Fabienne Salado;F;11;3
Odile Mouzard;M;7;0
Stéphane Jouve;M;8;2
Jean-pierre Toulouse;M;13;2
Charles Speth;M;12;2
Bernard Bruno;M;13;1
Louis Derumaux;M;10;4
Philippe Perrodo;M;11;2
Danielle Daube;F;10;4
Julien Pons;M;8;6
Philippe Schodet;M;11;4
Karine Esmiol;F;7;8
Daniel Jugy;M;14;0
Philippe Pouleau;M;13;1
